timerPresetSteakCooking,스테이크 굽기,Steak Cooking,ステーキを焼く,스테이크 굽기 프리셋
timerPresetSteakCookingDescription,미디움 레어 스테이크,Medium-rare steak,ミディアムレアステーキ,스테이크 굽기 프리셋 설명
cookingLogAdd,요리 기록 추가,Add Cooking Log,料理記録を追加,요리 기록 추가 버튼
cookingLogWrite,요리 기록 작성,Write Cooking Log,料理記録を書く,요리 기록 작성 화면 제목
cookingLogTitle,제목,Title,タイトル,요리 기록 제목
cookingLogTitleRequired,제목 *,Title *,タイトル *,요리 기록 제목 필수 입력
cookingLogTitleHint,요리 기록 제목을 입력하세요,Enter cooking log title,料理記録のタイトルを入力してください,요리 기록 제목 입력 힌트
cookingLogEnterTitle,제목을 입력해주세요,Please enter a title,タイトルを入力してください,제목 필수 입력 메시지
cookingLogDateTime,요리한 날짜 및 시간 *,Cooking Date & Time *,料理した日時 *,요리 날짜/시간 선택 라벨
cookingLogSelectDateTime,날짜와 시간을 선택하세요,Select date and time,日付と時刻を選択してください,날짜/시간 선택 힌트
cookingLogPhoto,사진,Photo,写真,요리 사진 섹션
cookingLogAddPhoto,사진 추가,Add Photo,写真を追加,사진 추가 버튼
cookingLogTakePhoto,카메라로 촬영,Take with Camera,カメラで撮影,카메라로 사진 촬영 옵션
cookingLogSelectFromGallery,갤러리에서 선택,Select from Gallery,ギャラリーから選択,갤러리에서 사진 선택 옵션
cookingLogMemo,메모,Memo,メモ,요리 메모 섹션
cookingLogMemoHint,요리하면서 느낀 점이나 개선사항을 적어보세요,Write down your thoughts or improvements while cooking,料理しながら感じたことや改善点を書いてみてください,요리 메모 입력 힌트
cookingLogRecipeInfo,레시피 정보,Recipe Information,レシピ情報,레시피 정보 섹션
cookingStepAdd,단계 추가,Add Step,手順を追加,조리 단계 추가 버튼
cookingStepNumber,{number}번째 단계,Step {number},{number}番目の手順,조리 단계 번호
cookingStepDescription,단계 설명,Step Description,手順説明,조리 단계 설명 입력
searchResults,검색 결과,Search Results,検索結果,검색 결과 섹션
searchReset,검색 초기화,Reset Search,検索をリセット,검색 초기화 버튼
searchNoResults,선택한 재료로 만들 수 있는
레시피가 없습니다,No recipes can be made
with selected ingredients,選択した材料で作れる
レシピがありません,검색 결과 없음 메시지
searchRecipesFound,{count}개의 레시피를 찾았습니다,{count} recipes found,{count}個のレシピが見つかりました,검색 결과 개수
settingsManagement,관리,Management,管理,관리 섹션
settingsSeasoningUnitManagement,조미료/단위 관리,Seasoning/Unit Management,調味料/単位管理,조미료/단위 관리 메뉴
settingsSeasoningUnitDescription,조미료/단위 추가, 수정, 삭제,Add, edit, delete seasonings/units,調味料/単位の追加、編集、削除,조미료/단위 관리 설명
settingsAppInfo,앱 정보,App Info,アプリ情報,앱 정보 섹션
settingsVersion,버전,Version,バージョン,앱 버전
settingsLicense,라이선스,License,ライセンス,라이선스 정보
settingsLanguage,언어 설정,Language Settings,言語設定,언어 설정 메뉴
settingsSelectLanguage,언어를 선택하세요,Please select a language,言語を選択してください,언어 선택 요청
settingsLanguageSystem,시스템 언어,System Language,システム言語,시스템 언어 옵션
settingsLanguageKorean,한국어,Korean,韓国語,한국어 옵션
settingsLanguageEnglish,English,English,英語,영어 옵션
settingsLanguageJapanese,日本語,Japanese,日本語,일본어 옵션
settingsLanguageChanged,언어가 변경되었습니다,Language has been changed,言語が変更されました,언어 변경 완료 메시지
unitTypeSelection,"{unitName}" 단위가 어떤 종류인지 선택해주세요.,Please select what type of unit "{unitName}" is.,"{unitName}"単位がどのような種類かを選択してください。,단위 타입 선택 요청
unitFrequentlyUsed,자주 사용하는 단위,Frequently Used Units,よく使う単位,자주 사용하는 단위 섹션
unitWeightBasic,무게 (기본),Weight (Basic),重量 (基本),기본 무게 단위 카테고리
unitWeightCustom,무게 (사용자 추가),Weight (Custom),重量 (ユーザー追加),사용자 추가 무게 단위 카테고리
unitVolumeBasic,부피 (기본),Volume (Basic),体積 (基本),기본 부피 단위 카테고리
unitVolumeCustom,부피 (사용자 추가),Volume (Custom),体積 (ユーザー追加),사용자 추가 부피 단위 카테고리
unitCountBasic,개수 (기본),Count (Basic),個数 (基本),기본 개수 단위 카테고리
unitCountCustom,개수 (사용자 추가),Count (Custom),個数 (ユーザー追加),사용자 추가 개수 단위 카테고리
unitMiscBasic,기타 (기본),Misc (Basic),その他 (基本),기본 기타 단위 카테고리
unitMiscCustom,기타 (사용자 추가),Misc (Custom),その他 (ユーザー追加),사용자 추가 기타 단위 카테고리
unitBasic,기본,Basic,基本,기본 단위 라벨
unitNewAdded,새 단위 "{unitName}"이(가) {category} 카테고리에 추가되었습니다,New unit "{unitName}" added to {category} category,新しい単位"{unitName}"が{category}カテゴリに追加されました,새 단위 추가 완료 메시지
unitSearch,단위 검색...,Search units...,単位を検索...,단위 검색 힌트
unitAddNew,새 단위 추가: "{unitName}",Add new unit: "{unitName}",新しい単位を追加: "{unitName}",새 단위 추가 버튼
unitAddNewSubtitle,새로운 단위를 추가합니다,Add a new unit,新しい単位を追加します,새 단위 추가 설명
unitUsageCount,{count}회,{count} times,{count}回,단위 사용 횟수
unitErrorLoading,단위를 불러오는 중 오류가 발생했습니다,Error loading units,単位の読み込み中にエラーが発生しました,단위 로딩 오류 메시지
unitUsedTimes,{count}회 사용,Used {count} times,{count}回使用,단위 사용 횟수 표시
notificationTimerTitle,타이머 알림,Timer Notification,タイマー通知,타이머 알림 설정
notificationBackgroundRefresh,백그라운드 앱 새로고침,Background App Refresh,バックグラウンドアプリ更新,백그라운드 앱 새로고침 설정
notificationBackgroundRefreshDescription,타이머 알림이 정확히 작동하도록 설정,Set up for accurate timer notifications,タイマー通知が正確に動作するように設定,백그라운드 앱 새로고침 설명
notificationActivated,타이머 알림이 활성화되었습니다,Timer notifications activated,タイマー通知が有効になりました,알림 활성화 메시지
notificationDenied,알림 권한이 거부되었습니다. 시스템 설정에서 수동으로 활성화할 수 있습니다,Notification permission denied. You can manually activate it in system settings,通知の権限が拒否されました。システム設定で手動で有効にできます,알림 권한 거부 메시지
notificationSettings,알림 설정,Notification Settings,通知設定,알림 설정 메뉴
notificationEnabled,타이머 알림이 활성화되어 있습니다,Timer notifications are enabled,タイマー通知が有効になっています,알림 활성화 상태
notificationTurnOff,알림을 끄고 싶다면:,To turn off notifications:,通知を無効にしたい場合:,알림 끄기 안내
notificationTurnOffInstructions,1. 아이폰 설정 앱 열기
2. 알림 > Saucerer 선택
3. 알림 허용 끄기,1. Open iPhone Settings app
2. Select Notifications > Saucerer
3. Turn off Allow Notifications,1. iPhone設定アプリを開く
2. 通知 > Saucererを選択
3. 通知を許可をオフにする,알림 끄기 방법
notificationTurnOffWarning,알림을 끄면 타이머 완료 시 알림을 받을 수 없습니다,If you turn off notifications, you will not receive timer completion alerts,通知を無効にすると、タイマー完了時に通知を受け取れません,알림 끄기 경고
notificationActivatedStatus,활성화됨,Activated,有効,활성화 상태
notificationDeactivatedStatus,비활성화됨,Deactivated,無効,비활성화 상태
notificationOpenSettings,설정 열기,Open Settings,設定を開く,설정 열기 버튼
notificationEnableInSettings,설정에서 알림을 활성화해주세요,Please enable notifications in settings,設定で通知を有効にしてください,설정에서 알림 활성화 요청
notificationPermissionDenied,알림 권한이 거부되었습니다,Notification permission denied,通知の権限が拒否されました,알림 권한 거부 메시지
notificationTestSent,테스트 알림이 전송되었습니다,Test notification sent,テスト通知が送信されました,테스트 알림 전송 메시지
notificationTest,알림 테스트,Test Notification,通知テスト,알림 테스트 기능
timerNotificationChannelTitle,요리 타이머,Cooking Timer,料理タイマー,타이머 알림 채널 제목
timerNotificationChannelDescription,요리 타이머 완료 알림,Cooking timer completion notifications,料理タイマー完了通知,타이머 알림 채널 설명
timerNotificationCompleteTitle,🍳 {timerName} 완료!,🍳 {timerName} Complete!,🍳 {timerName} 完了！,타이머 완료 알림 제목
timerNotificationCompleteBody,{duration} 타이머가 끝났습니다.,{duration} timer finished.,{duration}タイマーが終了しました。,타이머 완료 알림 내용
timerNotificationTestChannelTitle,테스트 알림,Test Notifications,テスト通知,테스트 알림 채널 제목
timerNotificationTestChannelDescription,테스트 알림 채널,Test notification channel,テスト通知チャンネル,테스트 알림 채널 설명
timerNotificationTestTitle,🧪 테스트 알림,🧪 Test Notification,🧪 テスト通知,테스트 알림 제목
timerNotificationTestBody,이것은 테스트 알림입니다. 알림이 정상적으로 작동하고 있습니다!,This is a test notification. Notifications are working properly!,これはテスト通知です。通知が正常に動作しています！,테스트 알림 내용
generalErrorOccurred,오류가 발생했습니다,An error occurred,エラーが発生しました,일반 오류 메시지
generalSaveFailed,저장 실패,Save failed,保存に失敗しました,저장 실패 메시지
generalSaveFailedWithError,저장 실패: {error},Save failed: {error},保存に失敗しました: {error},저장 실패 오류 메시지
generalCategoryManagement,카테고리 관리,Category Management,カテゴリ管理,카테고리 관리 메뉴
generalAddCategory,카테고리 추가,Add Category,カテゴリを追加,카테고리 추가 버튼
generalName,이름,Name,名前,이름 라벨
generalDescription,설명,Description,説明,설명 라벨
generalSaveOptions,저장 옵션,Save Options,保存オプション,저장 옵션 다이얼로그
generalHowToSave,어떻게 저장하시겠습니까?,How would you like to save?,どのように保存しますか？,저장 방법 질문
